Fecha;Cantidad Ingreso;MesN;Mes;Year
1/01/2019;4;1;Enero;2019
2/01/2019;2;1;Enero;2019
3/01/2019;1;1;Enero;2019
4/01/2019;6;1;Enero;2019
5/01/2019;3;1;Enero;2019
6/01/2019;2;1;Enero;2019
7/01/2019;1;1;Enero;2019
8/01/2019;4;1;Enero;2019
9/01/2019;2;1;Enero;2019
10/01/2019;3;1;Enero;2019
11/01/2019;1;1;Enero;2019
12/01/2019;1;1;Enero;2019
13/01/2019;0;1;Enero;2019
14/01/2019;3;1;Enero;2019
15/01/2019;1;1;Enero;2019
16/01/2019;2;1;Enero;2019
17/01/2019;2;1;Enero;2019
18/01/2019;2;1;Enero;2019
19/01/2019;2;1;Enero;2019
20/01/2019;3;1;Enero;2019
21/01/2019;2;1;Enero;2019
22/01/2019;2;1;Enero;2019
23/01/2019;5;1;Enero;2019
24/01/2019;3;1;Enero;2019
25/01/2019;1;1;Enero;2019
26/01/2019;3;1;Enero;2019
27/01/2019;2;1;Enero;2019
28/01/2019;4;1;Enero;2019
29/01/2019;5;1;Enero;2019
30/01/2019;2;1;Enero;2019
31/01/2019;2;1;Enero;2019
1/02/2019;5;2;Febrero;2019
2/02/2019;0;2;Febrero;2019
3/02/2019;1;2;Febrero;2019
4/02/2019;8;2;Febrero;2019
5/02/2019;2;2;Febrero;2019
6/02/2019;1;2;Febrero;2019
7/02/2019;3;2;Febrero;2019
8/02/2019;5;2;Febrero;2019
9/02/2019;0;2;Febrero;2019
10/02/2019;4;2;Febrero;2019
11/02/2019;2;2;Febrero;2019
12/02/2019;6;2;Febrero;2019
13/02/2019;7;2;Febrero;2019
14/02/2019;8;2;Febrero;2019
15/02/2019;10;2;Febrero;2019
16/02/2019;2;2;Febrero;2019
17/02/2019;3;2;Febrero;2019
18/02/2019;7;2;Febrero;2019
19/02/2019;5;2;Febrero;2019
20/02/2019;7;2;Febrero;2019
21/02/2019;7;2;Febrero;2019
22/02/2019;2;2;Febrero;2019
23/02/2019;3;2;Febrero;2019
24/02/2019;5;2;Febrero;2019
25/02/2019;8;2;Febrero;2019
26/02/2019;7;2;Febrero;2019
27/02/2019;6;2;Febrero;2019
28/02/2019;8;2;Febrero;2019
1/03/2019;6;3;Marzo;2019
2/03/2019;3;3;Marzo;2019
3/03/2019;3;3;Marzo;2019
4/03/2019;9;3;Marzo;2019
5/03/2019;6;3;Marzo;2019
6/03/2019;6;3;Marzo;2019
7/03/2019;3;3;Marzo;2019
8/03/2019;8;3;Marzo;2019
9/03/2019;3;3;Marzo;2019
10/03/2019;3;3;Marzo;2019
11/03/2019;6;3;Marzo;2019
12/03/2019;6;3;Marzo;2019
13/03/2019;7;3;Marzo;2019
14/03/2019;3;3;Marzo;2019
15/03/2019;4;3;Marzo;2019
16/03/2019;1;3;Marzo;2019
17/03/2019;9;3;Marzo;2019
18/03/2019;6;3;Marzo;2019
19/03/2019;7;3;Marzo;2019
20/03/2019;10;3;Marzo;2019
21/03/2019;8;3;Marzo;2019
22/03/2019;11;3;Marzo;2019
23/03/2019;2;3;Marzo;2019
24/03/2019;5;3;Marzo;2019
25/03/2019;3;3;Marzo;2019
26/03/2019;6;3;Marzo;2019
27/03/2019;11;3;Marzo;2019
